distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9,read_10,read_11,read_12,read_13,read_14,read_15,read_16,read_17,read_18,read_19,read_20,read_21,read_22,read_23,read_24,read_25,read_26,read_27,read_28,read_29,read_30,read_31,read_32,read_33,read_34,read_35,read_36,read_37,read_38,read_39,read_40,read_41,read_42,read_43,read_44,read_45,read_46,read_47,read_48,read_49
0.0,4.66644997E-06
,4.67037808E-06
,4.66120582E-06
,4.68926919E-06
,4.66865913E-06
,4.67452401E-06
,4.66456277E-06
,4.66828669E-06
,4.66982056E-06
,4.66446409E-06
,4.68182225E-06
,4.68307962E-06
,4.66615074E-06
,4.66559368E-06
,4.67254495E-06
,4.67142263E-06
,4.67265681E-06
,4.69547103E-06
,4.66622851E-06
,4.68991448E-06
,4.67131849E-06
,4.67543805E-06
,4.67495011E-06
,4.67370592E-06
,4.70033228E-06
,4.67215659E-06
,4.69327006E-06
,4.69174211E-06
,4.67593418E-06
,4.67653445E-06
,4.67841073E-06
,4.70375608E-06
,4.67671271E-06
,4.69473207E-06
,4.67683822E-06
,4.68079770E-06
,4.68131520E-06
,4.68002872E-06
,4.69846646E-06
,4.69769066E-06
,4.68365988E-06
,4.68273674E-06
,4.67964037E-06
,4.68091957E-06
,4.68343933E-06
,4.70911664E-06
,4.68458211E-06
,4.70212626E-06
,4.68154667E-06
,4.68053577E-06
,
0.11000000000000001,4.70000214E-06
,4.70414670E-06
,4.70005989E-06
,4.70787018E-06
,4.70725945E-06
,4.70523446E-06
,4.73236923E-06
,4.70916802E-06
,4.71573640E-06
,4.70966825E-06
,4.70832538E-06
,4.70966461E-06
,4.71202202E-06
,4.74006629E-06
,4.71306475E-06
,4.72839611E-06
,4.71781232E-06
,4.71826206E-06
,4.71383828E-06
,4.71687554E-06
,4.74613580E-06
,4.72126158E-06
,4.73411819E-06
,4.72157762E-06
,4.72126840E-06
,4.71894327E-06
,4.72334114E-06
,4.74021408E-06
,4.74059334E-06
,4.72320517E-06
,4.72807596E-06
,4.73324326E-06
,4.72627971E-06
,4.72703596E-06
,4.75789784E-06
,4.73864793E-06
,4.74317176E-06
,4.73273576E-06
,4.73180307E-06
,4.74227272E-06
,4.73448199E-06
,4.76409286E-06
,4.74504577E-06
,4.74592525E-06
,4.73687578E-06
,4.73745104E-06
,4.73946238E-06
,4.74592116E-06
,4.75891375E-06
,4.76398372E-06
,
0.22000000000000003,4.78385891E-06
,4.76889727E-06
,4.75883735E-06
,4.75889374E-06
,4.76109562E-06
,4.79012670E-06
,4.77180356E-06
,4.77557114E-06
,4.76661489E-06
,4.77690037E-06
,4.76943933E-06
,4.76850755E-06
,4.79818164E-06
,4.77901222E-06
,4.78081029E-06
,4.78163520E-06
,4.77509684E-06
,4.77635649E-06
,4.77836329E-06
,4.80648805E-06
,4.79120126E-06
,4.79788559E-06
,4.80091057E-06
,4.82289579E-06
,4.81810275E-06
,4.82690439E-06
,4.84597058E-06
,4.84617340E-06
,4.82774021E-06
,4.84114662E-06
,4.82809992E-06
,4.83786107E-06
,4.82794894E-06
,4.85513510E-06
,4.83655776E-06
,4.83326630E-06
,4.83656504E-06
,4.81936422E-06
,4.84280235E-06
,4.81687130E-06
,4.84010980E-06
,4.83836720E-06
,4.82015093E-06
,4.82313180E-06
,4.82371343E-06
,4.82439054E-06
,4.84020347E-06
,4.82387213E-06
,4.85355849E-06
,4.82665700E-06
,
0.33000000000000007,4.86731187E-06
,4.87586021E-06
,4.85927194E-06
,4.86899216E-06
,4.88370415E-06
,4.85822284E-06
,4.86441832E-06
,4.86464569E-06
,4.86594899E-06
,4.86972522E-06
,4.88565911E-06
,4.88999922E-06
